default_code;name;xmlid_code;old_code;type;transport_ok;subtype;asset_type_id.name;procure_method;supply_method;standard_price;volume;weight;international_status.name;state.name;active;perishable;batch_management;uom_id.name;uom_po_id.name;nomen_manda_0.name;nomen_manda_1.name;nomen_manda_2.name;nomen_manda_3.name;life_time;use_time;short_shelf_life;alert_time;heat_sensitive_item.code;cold_chain;sterilized;single_use;narcotic;justification_code_id.id;closed_article;restricted_country;country_restriction;dangerous_goods;un_code;criticism;abc_class;product_catalog_path;description;description2;description_sale;description_purchase;procure_delay;property_account_income.code;property_account_expense.code;state.code;state_ud
ADAPDVDRB--;DISK, DVD-R (recordable), data, cakebox of 25;ADAPDVDRB--;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;1.084;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;DVDR - DVD, recordable;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJPENB1V-;BENZATHINE BENZYLPENICILLIN, 1.2 M IU, powder, vial;DINJPENB1V-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.409;0.05;0.03;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;PENB - Penicilline Benzathine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPMOUS1PA;(mouse) PAD;ADAPMOUS1PA;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;1.25;0.589;0.06;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;MOUS - Mouse;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPKBDAUSB;KEYBOARD, AZERTY, external, USB;ADAPKBDAUSB;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;19.64;4.9858;1.16;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;KBDA - Keyboard AZERTY;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPCABLTEL;CABLE, TELEPHONE, plug RJ 12;ADAPCABLTEL;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;2.8;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;CABL - Data processing cable;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPPRINCUS;(printer) CABLE, USB (model to specify);ADAPPRINCUS;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;4.035;0.408;0.08;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;PRIN - Printer;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPCOLALOK;(laptop computer) LOCK, with key, Kensington slot;ADAPCOLALOK;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;37.994;0.432;0.2;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;COLA - Laptop computer;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPCOLALPOW;(laptop computer) AC POWER ADAPTOR (model to specify);ADAPCOLALPOW;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;37.994;0.432;0.2;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;COLA - Laptop computer;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
"0é@ç%""""µ°'&ê?";(cellphone) Cellphone ỾɃℝ é&ïùè<œ`§~£!*%+=}#&,?/|ɆɇƏǝℰⱸℯ℮ƐⒻ;"0é@ç%""""µ°'&ê?";;Stockable Product;FALSE;Single Item;;Make to Order;Buy;37.994;0.432;0.2;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;COLA - Laptop computer;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPCABL1P-;(printer) CABLE, PARALLEL interface PC/printer;ADAPCABL1P-;ADAPCABL01-;Stockable Product;FALSE;Single Item;;Make to Order;Buy;4.933;0.42;0.21;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;CABL - Data processing cable;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPCOLABAG;(laptop computer) CARRYING BAG;ADAPCOLABAG;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;27.853;24.3;1.61;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;COLA - Laptop computer;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
ADAPPRINSB4;(printer) SWITCH BOX passive, 4 outlets to 1 printer;ADAPPRINSB4;ADAPSWIT04U;Stockable Product;FALSE;Single Item;;Make to Order;Buy;30;4.116;0.29;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;ADAP - Data Processing;PRIN - Printer;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJEPHE3A-;EPHEDRINE hydrochloride, 30 mg/ml, 1 ml, amp.;DINJEPHE3A-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.334;;;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;EPHE - Ephedrine;;;FALSE;;;;No;No;TRUE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJHYDR1V-;HYDROCORTISONE sodium succinate, eq.100mg base, powder, vial;DINJHYDR1V-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.435;0.03;0.02;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;HYDR - Hydrocortisone;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJEPIN1A-;EPINEPHRINE (adrenaline) tartrate, 1 mg/ml, 1 ml, amp.;DINJEPIN1A-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.37;;;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;EPIN - Epinephrine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJNALO4A-;NALOXONE hydrochloride, 0.4 mg/ml, 1 ml, amp.;DINJNALO4A-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.402;0.02;;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;NALO - Nalaxone;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJARTE2A-;ARTEMETHER, 20 mg/ml, 1 ml, amp.;DINJARTE2A-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.498;0.02;;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;ARTE - Artemeter;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJNEOS2A-;NEOSTIGMINE methylsulfate, 2.5 mg/ml, 1 ml, amp.;DINJNEOS2A-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.449;0.02;;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;NEOS - Neostigmine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJPENG5V-;BENZYLPENICILLIN (peni G, crystal peni), 5 MIU, powder,vial;DINJPENG5V-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.581;;0.02;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;PENG - Penicilline Benzyl;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJLIDO1V1;LIDOCAINE hydrochloride, 1%, 10 ml, vial;DINJLIDO1V1;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.491;0.06;0.02;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;LIDO - Lidocaine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJGLUC5V5;GLUCOSE HYPERTONIC, 50%, 50 ml, vial;DINJGLUC5V5;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.559;0.17;0.12;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;GLUC - Glucose Hypertonic;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJSTRE1V-;STREPTOMYCIN sulfate, eq. 1 g base, powder, vial;DINJSTRE1V-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.511;0.05;0.03;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;STRE - Streptomycine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJCEFT1V-;CEFTRIAXONE sodium, 1 g, powder, vial;DINJCEFT1V-;DINJCEFT1A-;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.557;0.05;0.03;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;CEFT - Ceftriaxone;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJCEFT2V-;CEFTRIAXONE sodium, 250 mg, powder, vial;DINJCEFT2V-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.62;0.05;0.03;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;CEFT - Ceftriaxone;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJPENP4V-;PENICILLIN PROCAINE 3 MIU / PENI G 1 MIU, (PPF) powder,vial;DINJPENP4V-;DINJPENF4V-;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.638;;0.03;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;PENP - Penicilline Procaine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJBUPI2A-;BUPIVACAINE hydrochloride, eq. 0.5 mg/ml base, 4 ml, amp.;DINJBUPI2A-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.638;0.05;0.01;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;BUPI - Bupivacaine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJPROM5A-;PROMETHAZINE hydrochloride, eq. 25 mg/ml base, 2 ml, amp.;DINJPROM5A-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.645;;0.01;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;PROM - Promethazine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAFERF1T4;FERROUS fumarate 185 mg (60mg ir.) / FOLIC acid 0.4 mg, tab;DORAFERF1T4;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.013;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;FERF - Ferrous Sulfate / Folic Acid;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJMETN5V-;METRONIDAZOLE, 5 mg/ml, 100 ml, plastic bt. for infusion;DINJMETN5V-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.68;0.37;0.13;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;METN - Metronidazol;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJPENB2V-;BENZATHINE BENZYLPENICILLIN , 2.4 M IU, powder, vial;DINJPENB2V-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.7;;;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;PENB - Penicilline Benzathine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAPROM2T-;PROMETHAZINE hydrochloride, eq. 25 mg base, tab.;DORAPROM2T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.014;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;PROM - Promethazine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DINJMEDR1V-;MEDROXYPROGESTERONE acetate, 150 mg, 1 ml, vial;DINJMEDR1V-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.783;0.01;0.01;UniData;;TRUE;TRUE;TRUE;PCE;;MED;D - Drugs;DINJ - Injectable Drugs;MEDR - Depo Medroxyprogesterone;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAHYDO5T-;HYDROCHLOROTHIAZIDE, 50 mg, tab.;DORAHYDO5T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.01;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;HYDO - Hydrochlorothiazide;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOSUGA2S-;SUGAR, powder, monodose, waterproof sachet;AFOOSUGA2S-;;Non-Stockable;FALSE;;;Make to Order;Buy;0.04;0.5;0.01;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;SUGA - Sugar;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAIBUP4T-;IBUPROFEN, 400 mg, tab.;DORAIBUP4T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.01;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;IBUP - Ibuprofene;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAFERS2T-;FERROUS sulfate (or fumarate), 200 mg (= 65 mg iron), tab;DORAFERS2T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.015;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;FERS - Ferrous Sulfate;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAPENV2T-;PHENOXYMETHYLPENICILLIN, 250 mg, tab.;DORAPENV2T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.01;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;PENV - Penicilline Phenoxymethyl;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAASCA2T-;ASCORBIC acid (vitamin C), 250 mg, tab.;DORAASCA2T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.011;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;ASCA - Ascorbic Acid;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAMETF5T-;METFORMIN hydrochloride, 500 mg, tab.;DORAMETF5T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.018;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;METF - Metformin;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORACOTR4T-;COTRIMOXAZOLE, 400 mg / 80 mg, breakable tab.;DORACOTR4T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.011;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;COTR - Cotrimoxazole;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAMETN5T-;METRONIDAZOLE, 500 mg, tab.;DORAMETN5T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.015;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;METN - Metronidazol;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAPRED5T-;PREDNISOLONE, 5 mg, tab.;DORAPRED5T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.011;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;PRED - Prednisolone;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAFURO4T-;FUROSEMIDE, 40 mg, tab.;DORAFURO4T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.012;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;FURO - Furosemide;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORABISA5T-;BISACODYL, 5 mg, tab.;DORABISA5T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.013;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;BISA - Bisacodyl;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAAMOX2T-;AMOXICILLIN, 250 mg, breakable tab.;DORAAMOX2T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.016;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;AMOX - Amoxycilline;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAALBE4T-;ALBENDAZOLE, 400 mg, tab.;DORAALBE4T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.019;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;ALBE - Albendazole;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAGRIS1T-;GRISEOFULVIN, 125 mg, tab.;DORAGRIS1T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.018;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;GRIS - Griseovulvine;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAMETO1T-;METOCLOPRAMIDE hydrochloride anhydrous, 10 mg, tab.;DORAMETO1T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.018;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;METO - Metoclopramide;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOMILK4C-;MILK, CONDENSED, sugared, 400 g, tube;AFOOMILK4C-;;Non-Stockable;FALSE;;;Make to Order;Buy;1.36;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;MILK - Milk;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAYINS2T-;ZINC sulfate, eq. to 20 mg zinc mineral, dispersible tab.;DORAYINS2T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.018;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;YINS - Zinc Sulfate;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOTEAS2S-;TEA + SUGAR, monodose, waterproof sachet;AFOOTEAS2S-;;Non-Stockable;FALSE;;;Make to Order;Buy;0.06;0.5;0.01;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;TEAS - Tea;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAALUM4T-;ALUMINIUM hydroxide 400mg / MAGNESIUM hydroxide 400mg, tab.;DORAALUM4T-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.019;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;ALUM - Aluminium Hydr. / Magnesium Trisil.;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
DORAAMOX2C-;AMOXICILLIN, 250 mg, caps.;DORAAMOX2C-;;Stockable Product;FALSE;Single Item;;Make to Order;Buy;0.02;;;UniData;;TRUE;TRUE;FALSE;PCE;;MED;D - Drugs;DORA - Oral Drugs;AMOX - Amoxycilline;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOODRYML1-;INDIVIDUAL MEAL, freeze-dried, without pork, sachet;AFOODRYML1-;;Non-Stockable;FALSE;;;Make to Order;Buy;3.58;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;DRYM - Dehydrated meal;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCOFF2S-;COFFEE + SUGAR, monodose, waterproof sachet;AFOOCOFF2S-;;Non-Stockable;FALSE;;;Make to Order;Buy;0.1;0.5;0.01;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;COFF - Coffe;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOSOUP2LS;SOUP, MINESTRONE, hypercal. Freeze-dried, for 1 l, sachet;AFOOSOUP2LS;;Non-Stockable;FALSE;;;Make to Order;Buy;1.55;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;SOUP - Soup;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOBEEF4TB;BEEF, bourguignon, 400 g, tin;AFOOBEEF4TB;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;BEEF - Beef;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOBEAN4TF;BEANS, FRENCH, 400 g, extra thin, tin;AFOOBEAN4TF;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;BEAN - Beans;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
