"name";"ref";"partner_type";"zone";"po_by_project";"supplier_lt";"procurement_lt";"customer_lt";"transport_0";"transport_0_lt";"transport_1";"transport_1_lt";"customer";"supplier";"manufacturer";"lang";"address.name";"address.title.name";"address.type";"address.street";"address.street2";"address.zip";"address.city";"address.country_id.name";"category_id.complete_name";"category_id.complete_name";"category_id.complete_name";"property_account_receivable.code";"property_account_payable.code"
"Honda doughty ltd";"HON";"External";"National";"All requirements";2;0;;"Road";2;;;0;"X";0;"English";"David Mombasa";"Sir";"Default";"P.O.BOX 30336";;;"NAIROBI";"Kenya";"Supplier/Logistic";;;;
"LOCAL MARKET";"LOCM";"External";"National";"All requirements";0;0;;"Road";0;;;0;"X";0;"English";;;"Default";;;;"NAIROBI";"Kenya";"Supplier/Logistic";"Supplier/Food";;;
"Project P1";"P1";"Internal";"National";"All requirements";3;0;3;"Road";3;;;"X";"X";0;"English";;;"Default";;;;"NAIROBI";"Kenya";"Customer";;;;
"Project P2";"P2";"Internal";"National";"All requirements";3;0;3;"Road";3;;;"X";"X";0;"English";;;"Default";;;;"MAKUYU";"Kenya";"Customer";;;;
"Project P3";"P3";"Internal";"National";"All requirements";3;0;3;"Road";3;;;"X";"X";0;"English";;;"Default";;;;"SILIBOI";"Kenya";"Customer";;;;
"Coordination OCB1";"CB1";"Internal";"National";"All requirements";5;2;5;"Road";3;;;"X";"X";0;"English";;;"Default";;;;"NAIROBI";"Kenya";"Customer";"Supplier";;;
"Coordination OCG1";"CG1";"Inter-Section";"National";"All requirements";7;2;7;"Road";5;;;"X";"X";0;"English";;;"Default";;;;"NAIROBI";"Kenya";"Customer";"Supplier";;;
"Coordination OCA1";"CA1";"Inter-Section";"National";"All requirements";7;2;7;"Road";5;;;"X";"X";0;"English";;;"Default";;;;"NAIROBI";"Kenya";"Customer";"Supplier";;;
"Coordination OCBA1";"CBA1";"Inter-Section";"National";"All requirements";7;2;7;"Road";5;;;"X";"X";0;"English";;;"Default";;;;"NAIROBI";"Kenya";"Customer";"Supplier";;;
"Coordination OCP1";"CP1";"Inter-Section";"National";"All requirements";7;2;7;"Road";5;;;"X";"X";0;"English";;;"Default";;;;"NAIROBI";"Kenya";"Customer";"Supplier";;;
"Income Tax Office";"TOFFI";"External";"National";"All requirements";0;0;0;"Road";0;;;;"X";0;"English";"Elridge Toppy";"Madam";"Default";"P.O. BOX 999999";"United Rd";578;"Kampala";"Uganda";"Supplier/Service";"Supplier";;;
"Social Security";"SSEC";"External";"National";"All requirements";0;0;0;"Road";0;;;;"X";0;"English";"John Do";"Mr";"Default";;"Franklin Av.";43;"Kampala";"Uganda";"Supplier/Service";"Supplier";;;
"Tax Office ";"TOF";"External";"National";"All requirements";0;0;0;"Road";0;;;;"X";0;"English";"Gianni Magpi";"Sir";"Default";"P.O. BOX 8888";"Delaney RD";96;"Kampala";"Uganda";"Supplier/Service";"Supplier";;;
"Pension Fund Secure Inc.";"PENO";"External";"National";"All requirements";0;0;0;"Road";0;;;;"X";0;"English";"Carmen RooJ";"Madam";"Default";"P.O. BOX 66666";"Gemdry RD";90876;"Kampala";"Uganda";"Supplier/Service";"Supplier";;;
